CWA,City
ABQ,Albuquerque
ABR,Aberdeen
AFC,Anchorage
AFG,Fairbanks
AJK,Juneau
AKQ,Wakefield
ALY,Albany
AMA,Amarillo
APX,Gaylord
ARX,La Crosse
BGM,Binghamton
BIS,Bismarck
BMX,Birmingham
BOI,Boise
BOU,Denver
BOX,Taunton
BRO,Brownsville
BTV,Burlington
BUF,Buffalo
BYZ,Billings
CAE,Columbia
CAR,Caribou
CHS,Charleston
CLE,Cleveland
CRP,Corpus Christi
CTP,State College
CYS,Cheyenne
DDC,Dodge City
DLH,Duluth
DMX,Des Moines
DTX,Detroit/Pontiac
DVN,Quad Cities
EAX,Kansas City/Pleasant Hill
EKA,Eureka
EPZ,El Paso TX/Santa Teresa NM
EWX,Austin/San Antonio
FFC,Peachtree City
FGF,Grand Forks
FGZ,Flagstaff
FSD,Sioux Falls
FWD,Fort Worth
GGW,Glasgow
GID,Hastings
GJT,Grand Junction
GLD,Goodland
GRB,Green Bay
GRR,Grand Rapids
GSP,Greenville-Spartanburg
GUM,Tiyan
GYX,Gray
HFO,Honolulu
HGX,Houston/Galveston
HNX,Hanford
HUN,Huntsville
ICT,Wichita
ILM,Wilmington
ILN,Wilmington
ILX,Lincoln
IND,Indianapolis
IWX,Northern Indiana
JAN,Jackson
JAX,Jacksonville
JKL,Jackson
KEY,Key West
LBF,North Platte
LCH,Lake Charles
LIX,New Orleans
LKN,Elko
LMK,Louisville
LOT,Chicago
LOX,Los Angeles/Oxnard
LSX,St Louis
LUB,Lubbock
LWX,Baltimore MD/Washington
LZK,Little Rock
MAF,Midland/Odessa
MEG,Memphis
MFL,Miami
MFR,Medford
MHX,Newport/Morehead City
MKX,Milwaukee/Sullivan
MLB,Melbourne
MOB,Mobile
MPX,Twin Cities/Chanhassen
MQT,Marquette
MRX,Morristown
MSO,Missoula
MTR,San Francisco
OAX,Omaha/Valley
OHX,Nashville
OKX,Upton
OTX,Spokane
OUN,Norman
PAH,Paducah
PBZ,Pittsburgh
PDT,Pendleton
PHI,Mount Holly
PIH,Pocatello
PPG,Pago Pago
PQR,Portland
PSR,Phoenix
PUB,Pueblo
RAH,Raleigh
REV,Reno
RIW,Riverton
RLX,Charleston
RNK,Blacksburg
SEW,Seattle
SGF,Springfield
SGX,San Diego
SHV,Shreveport
SJT,San Angelo
SJU,San Juan
SLC,Salt Lake City
STO,Sacramento
TAE,Tallahassee
TBW,Tampa Bay Ruskin
TFX,Great Falls
TOP,Topeka
TSA,Tulsa
TWC,Tucson
UNR,Rapid City
VEF,Las Vegas